YEAR	VILLAGE	RIVER	ID	FL	GONADS
2016	AUPALUK	VOLTZ	796	359	0
2016	AUPALUK	VOLTZ	797	276	0
2016	AUPALUK	VOLTZ	800	389	1
2016	AUPALUK	VOLTZ	801	399	0
2016	AUPALUK	VOLTZ	803	362	0
2016	AUPALUK	VOLTZ	804	437	0
2016	AUPALUK	VOLTZ	809	293	0
2016	AUPALUK	VOLTZ	811	287	0
2016	AUPALUK	VOLTZ	820	446	0
2016	AUPALUK	VOLTZ	821	326	0
2016	AUPALUK	VOLTZ	822	321	0
2016	AUPALUK	VOLTZ	823	512	0
2016	AUPALUK	VOLTZ	824	445	0
2016	AUPALUK	VOLTZ	825	402	0
2016	AUPALUK	VOLTZ	826	352	0
2016	AUPALUK	VOLTZ	828	281	0
2016	AUPALUK	VOLTZ	829	294	0
2016	AUPALUK	VOLTZ	830	281	0
2016	AUPALUK	VOLTZ	835	424	0
2016	AUPALUK	VOLTZ	836	516	0
2016	AUPALUK	VOLTZ	838	354	1
2016	AUPALUK	VOLTZ	843	301	0
2016	AUPALUK	VOLTZ	847	200	0
2016	AUPALUK	VOLTZ	863	581	0
2016	AUPALUK	VOLTZ	865	287	0
2016	AUPALUK	VOLTZ	866	389	0
2016	AUPALUK	VOLTZ	868	456	0
2016	AUPALUK	VOLTZ	870	352	0
2016	AUPALUK	VOLTZ	873	341	0
2016	AUPALUK	VOLTZ	877	357	0
2017	TASIUJAQ	AIPPARUSIK	10001	457	0
2017	TASIUJAQ	AIPPARUSIK	10002	502	0
2017	TASIUJAQ	AIPPARUSIK	10004	447	1
2017	TASIUJAQ	AIPPARUSIK	10010	550	0
2017	TASIUJAQ	AIPPARUSIK	10011	552	0
2017	TASIUJAQ	AIPPARUSIK	10013	540	0
2017	TASIUJAQ	AIPPARUSIK	10014	504	1
2017	TASIUJAQ	AIPPARUSIK	10015	428	0
2017	TASIUJAQ	AIPPARUSIK	10026	461	0
2017	TASIUJAQ	AIPPARUSIK	10031	455	0
2017	TASIUJAQ	AIPPARUSIK	10032	397	0
