SURVEY	BIN50	NO	YES	TOTAL	PROP
SURV1	175	4	0	4	0
SURV1	225	13	0	13	0
SURV1	275	25	0	25	0
SURV1	325	40	0	40	0
SURV1	375	43	0	43	0
SURV1	425	24	0	24	0
SURV1	475	25	4	29	0.137931034
SURV1	525	7	4	11	0.363636364
SURV1	575	6	10	16	0.625
SURV1	625	3	13	16	0.8125
SURV1	675	0	10	10	1
SURV1	725	0	5	5	1
SURV1	775	0	6	6	1
SURV2	175	6	0	6	0
SURV2	225	19	0	19	0
SURV2	275	28	0	28	0
SURV2	325	60	8	68	0.117647059
SURV2	375	86	26	112	0.232142857
SURV2	425	26	15	41	0.365853659
SURV2	475	11	10	21	0.476190476
SURV2	525	3	12	15	0.8
SURV2	575	0	3	3	1
SURV2	625	1	5	6	0.833333333
SURV2	675	0	7	7	1
SURV2	725	0	1	1	1
