LAKE	ID	TL	MASS	AGE
BRULE	597	154	40.6	3
BRULE	611	159	27.8	3
BRULE	543	175	37.1	3
BRULE	581	218	79.4	5
BRULE	575	224	84.4	5
BRULE	544	226	84.1	4
BRULE	545	267	142.5	5
BRULE	580	268	149.0	5
BRULE	547	274	147.4	5
BRULE	616	324	246.9	9
BRULE	566	395	440.1	9
BRULE	559	395	521.8	10
BRULE	554	440	617.2	12
BRULE	552	451	744.4	14
BRULE	585	465	925.9	11
BRULE	577	477	1021.0	12
BRULE	553	478	888.9	11
BRULE	572	496	1211.8	14
BRULE	610	523	1204.6	10
BRULE	591	526	1371.8	9
BRULE	556	531	1391.8	11
BRULE	573	538	1324.2	16
BRULE	584	549	1499.5	13
BRULE	600	552	1547.5	11
BRULE	564	555	1448.1	12
BRULE	583	570	1805.5	14
BRULE	605	601	1855.9	42
BRULE	568	620	2047.2	19
BRULE	542	700	2638.6	35
REDDOG	159	95	8.0	1
REDDOG	238	133	20.4	2
REDDOG	234	147	29.1	2
REDDOG	160	181	58.9	3
REDDOG	235	188	55.8	3
REDDOG	203	190	59.5	3
REDDOG	232	195	70.7	3
REDDOG	236	202	65.0	3
REDDOG	329	217	85.9	3
REDDOG	209	221	89.3	5
REDDOG	219	365	431.7	6
REDDOG	191	366	425.3	6
REDDOG	185	383	501.2	7
REDDOG	402	399	584.6	7
REDDOG	181	405	595.3	8
REDDOG	214	417	751.0	5
REDDOG	389	430	687.2	7
REDDOG	182	445	808.5	9
REDDOG	161	446	812.7	9
REDDOG	398	466	816.8	8
REDDOG	328	476	1033.5	9
REDDOG	320	492	946.3	11
REDDOG	325	495	1194.8	9
REDDOG	285	515	1284.2	9
REDDOG	281	515	1421.1	10
REDDOG	382	524	1440.7	10
REDDOG	212	540	1477.5	11
REDDOG	168	542	1882.5	17
REDDOG	386	550	1824.7	12
REDDOG	400	555	1786.4	13
REDDOG	178	557	1703.9	11
REDDOG	155	570	1788.6	15
REDDOG	157	573	1009.6	15
REDDOG	223	581	2045.3	10
REDDOG	276	583	1783.8	10
REDDOG	399	584	2624.9	24
REDDOG	227	585	1612.2	14
REDDOG	173	585	1969.1	20
REDDOG	323	592	2065.7	13
REDDOG	186	592	2244.8	17
REDDOG	187	592	2239.1	25
REDDOG	194	593	2577.7	21
REDDOG	378	594	2006.9	23
REDDOG	190	597	2009.5	13
REDDOG	220	600	1817.6	15
REDDOG	277	608	2503.3	25
REDDOG	162	615	1904.6	32
REDDOG	179	616	1717.2	21
REDDOG	388	624	2677.9	22
REDDOG	156	628	1482.8	16
REDDOG	274	632	2332.7	30
REDDOG	241	634	2986.2	29
REDDOG	225	638	1173.7	17
REDDOG	272	640	2280.6	50
REDDOG	221	644	2409.7	23
REDDOG	275	650	2624.9	20
REDDOG	280	654	2620.2	13
REDDOG	385	662	2604.4	40
REDDOG	392	672	3080.5	28
REDDOG	397	695	3222.5	36
REDDOG	286	704	2952.3	23
REDDOG	240	708	2373.7	26
VOLTZ	436	133	18.2	2
VOLTZ	477	133	17.3	2
VOLTZ	476	140	21.3	2
VOLTZ	472	157	29.1	2
VOLTZ	466	195	59.5	3
VOLTZ	424	223	90.8	3
VOLTZ	416	403	626.1	7
VOLTZ	420	419	695.9	7
VOLTZ	528	428	782.0	7
VOLTZ	518	462	1116.5	7
VOLTZ	519	482	1118.4	7
VOLTZ	415	485	978.3	10
VOLTZ	423	490	1679.3	10
VOLTZ	523	490	1129.1	11
VOLTZ	408	493	1065.6	9
VOLTZ	419	494	1350.4	9
VOLTZ	468	508	1485.5	12
VOLTZ	504	511	1386.8	9
VOLTZ	403	511	1452.8	13
VOLTZ	455	521	1405.2	7
VOLTZ	521	535	1470.4	10
VOLTZ	418	536	1422.9	19
VOLTZ	498	537	1592.9	10
VOLTZ	473	538	1393.8	11
VOLTZ	471	539	1735.1	9
VOLTZ	434	541	2257.2	27
VOLTZ	522	542	1564.9	9
VOLTZ	502	542	1792.1	11
VOLTZ	483	544	1559.7	11
VOLTZ	409	545	1832.6	10
VOLTZ	497	545	1599.2	10
VOLTZ	464	550	1653.1	9
VOLTZ	454	550	1432.9	17
VOLTZ	510	550	1773.4	12
VOLTZ	508	556	2091.6	10
VOLTZ	406	558	1846.1	12
VOLTZ	442	560	1795.3	29
VOLTZ	516	561	1639.4	12
VOLTZ	529	565	2821.2	21
VOLTZ	512	565	1929.5	34
VOLTZ	411	576	2058.3	29
VOLTZ	503	580	2105.0	10
VOLTZ	480	591	2033.7	12
VOLTZ	446	591	2832.8	23
VOLTZ	463	599	1749.4	28
VOLTZ	509	608	2183.5	12
VOLTZ	433	615	2356.6	13
VOLTZ	511	616	2809.5	17
VOLTZ	428	621	2665.5	9
VOLTZ	432	634	2185.2	23
VOLTZ	487	636	2038.6	33
VOLTZ	445	638	2179.7	17
VOLTZ	520	641	2529.5	42
VOLTZ	438	643	2676.1	25
VOLTZ	441	647	2577.0	23
VOLTZ	405	661	3295.3	16
VOLTZ	505	662	2507.3	34
VOLTZ	513	688	3432.5	26
VOLTZ	515	715	3341.1	13
VOLTZ	489	717	3619.9	24
VOLTZ	440	722	3144.2	34
VOLTZ	439	796	6702.4	36
