YEAR	AREA	STATION	CPUE	CONDUCT	D1AUG	DEPTH	EFFORT	TEMP	TURBID
2003	ALSP	F201	2	126.0	35	4.65	1435	20.20	14.70
2003	ALSP	F202	5	127.0	34	3.78	1260	20.20	14.40
2003	ALSP	F203	2	133.0	35	4.03	1420	20.20	11.60
2003	ALSP	F204	5	134.0	41	4.23	1440	18.80	9.13
2003	ALSP	F205	5	136.0	41	3.13	1300	19.60	7.04
2003	ALSP	F206	0	168.0	48	6.18	1415	21.10	12.70
2003	ALSP	F207	0	147.0	53	3.50	1435	19.60	17.90
2003	ALSP	F208	1	150.0	53	3.23	1405	19.50	19.50
2003	ALSP	F209	3	160.0	48	3.18	1315	21.20	20.50
2003	ALSP	F210	6	156.0	46	2.78	1725	21.80	12.80
2003	ALSP	F211	7	154.0	47	2.85	1320	21.70	9.30
2003	ALSP	F214	1	132.0	33	3.75	1415	19.60	14.30
2003	ALSP	F215	1	133.0	34	6.08	1330	19.90	12.60
2003	ALSP	F216	2	142.0	33	5.00	1477	20.00	10.30
2003	ALSP	F217	0	134.0	34	5.88	1570	19.80	11.40
2003	ALSP	F218	2	141.0	33	3.53	1385	20.20	10.70
2003	ALSP	F219	2	131.0	35	3.30	1300	20.60	11.50
2003	ALSP	F220	0	148.0	34	3.08	1345	20.10	15.00
2003	ALSP	F221	0	144.0	35	3.38	1285	20.50	13.10
2003	ALSP	F222	0	152.0	42	3.55	1350	20.20	10.90
2003	ALSP	F223	0	157.0	42	2.60	1440	19.40	13.70
2003	ALSP	F224	3	187.0	46	4.85	1470	21.30	9.03
2003	ALSP	F225	2	154.0	47	8.23	1375	21.50	14.00
2003	ALSP	F226	0	203.0	46	3.15	1470	21.30	6.60
2003	ALSP	F227	1	175.0	47	6.13	1470	21.40	13.40
2003	ALSP	F228	5	205.0	42	5.93	1455	19.70	4.41
2003	ALSP	F229	2	204.0	49	7.20	1665	21.20	7.28
2003	ALSP	F230	0	210.0	49	4.08	1420	21.20	6.78
2003	ALSP	F231	1	180.0	42	6.58	1459	19.70	5.06
2003	ALSP	F232	4	202.0	48	3.45	1430	21.70	6.03
2003	ALSP	F233	5	220.0	49	8.10	1350	21.70	4.19
2003	ALSP	F234	0	204.0	49	4.13	1310	21.00	6.63
2003	ALSP	F235	0	202.0	48	4.53	1315	21.40	6.73
2003	ALSP	F236	2	221.0	54	4.85	1357	19.70	4.74
2003	ALSP	F237	3	220.0	54	2.55	1385	19.70	6.85
2003	ALSP	F239	0	249.0	48	6.63	1592	21.30	3.03
2003	ALSP	F240	1	226.0	42	4.33	1596	19.70	3.57
2003	ALSP	F241	3	126.0	39	3.63	1470	19.10	13.50
2003	ALSP	F242	0	129.0	40	2.13	1350	19.10	14.90
2003	ALSP	F243	0	131.0	39	2.73	1445	19.10	16.10
2003	ALSP	F244	0	129.0	40	3.30	1320	19.50	14.10
2003	ALSP	F246	0	127.0	41	2.60	1335	19.30	12.90
2003	ALSP	F248	0	161.0	46	4.28	1443	21.80	8.40
2003	ALSP	F249	3	206.0	48	7.23	1517	21.30	5.40
2003	ALSP	F250	0	189.0	46	6.95	1402	21.60	4.50
2003	ALSP	F251	1	269.0	47	7.35	1652	21.50	2.03
2003	ALSP	F252	1	168.0	47	6.30	1572	21.50	14.30
2003	ALSP	F253	2	228.0	48	4.65	1526	21.30	3.83
2003	ALSP	F254	0	255.0	47	6.48	1455	21.50	1.50
2003	ALSP	F255	1	165.0	42	2.10	1310	20.40	11.80
2003	ALSP	F256	1	206.0	47	6.05	1350	21.50	7.14
2003	ALSP	F257	0	212.0	49	6.70	1405	21.20	8.35
2010	ALSP	F201	2	196.0	25	5.93	1415	21.45	6.41
2010	ALSP	F202	0	199.0	26	3.10	1450	21.15	4.41
2010	ALSP	F203	5	199.0	26	2.78	1505	21.26	6.13
2010	ALSP	F204	10	204.0	24	5.55	1640	21.23	5.69
2010	ALSP	F205	7	201.0	24	3.00	1535	21.07	9.53
2010	ALSP	F206	1	212.0	25	4.48	1345	21.51	4.33
2010	ALSP	F207	0	198.0	26	6.75	1309	21.92	4.10
2010	ALSP	F208	1	196.0	26	3.23	1362	21.53	4.28
2010	ALSP	F209	4	195.0	26	2.98	1451	21.17	5.34
2010	ALSP	F210	1	197.0	25	2.38	1397	21.34	5.37
2010	ALSP	F211	4	204.0	26	2.68	1454	21.22	5.62
2010	ALSP	F212	0	200.0	25	2.35	1435	21.33	5.56
2010	ALSP	F214	4	198.0	26	3.85	1515	21.00	4.09
2010	ALSP	F215	3	195.0	25	5.98	1355	21.87	4.55
2010	ALSP	F216	4	197.0	25	4.50	1463	21.90	3.68
2010	ALSP	F217	3	200.0	24	5.98	565	21.73	7.12
2010	ALSP	F218	1	199.0	23	3.25	1395	22.02	7.43
2010	ALSP	F219	2	201.0	23	2.83	1315	22.07	7.63
2010	ALSP	F220	0	216.0	23	4.98	1212	21.27	7.78
2010	ALSP	F221	0	219.0	24	2.88	1379	21.48	7.18
2010	ALSP	F222	4	216.0	23	2.20	1260	21.71	9.49
2010	ALSP	F223	1	216.0	24	2.73	1315	21.73	7.53
2010	ALSP	F224	3	205.0	19	4.65	1220	23.12	7.62
2010	ALSP	F225	2	198.0	19	7.60	1150	22.82	8.62
2010	ALSP	F226	5	214.0	25	5.63	1278	21.52	3.41
2010	ALSP	F227	3	213.0	25	7.00	1383	21.56	3.32
2010	ALSP	F228	3	242.0	23	5.95	1465	21.65	3.75
2010	ALSP	F229	3	229.0	23	5.28	1510	22.65	4.30
2010	ALSP	F230	2	224.0	17	4.53	1415	23.54	2.79
2010	ALSP	F231	1	230.0	18	6.23	1530	24.06	2.74
2010	ALSP	F232	0	227.0	18	2.60	1670	23.54	4.22
2010	ALSP	F233	4	229.0	18	6.63	1250	24.21	2.43
2010	ALSP	F234	2	230.0	17	3.40	1320	23.88	2.92
2010	ALSP	F235	3	225.0	18	4.00	1449	23.27	4.22
2010	ALSP	F236	1	230.0	17	3.70	1420	24.09	1.72
2010	ALSP	F237	2	232.0	17	3.08	1525	23.87	2.30
2010	ALSP	F238	7	235.0	17	7.40	1385	23.96	3.07
2010	ALSP	F239	0	255.0	18	6.95	1565	23.59	1.47
2010	ALSP	F240	0	258.0	17	4.48	1400	23.86	1.57
2010	ALSP	F241	0	191.0	30	3.50	1550	23.02	7.60
2010	ALSP	F242	1	191.0	30	2.25	1585	23.26	9.50
2010	ALSP	F243	0	191.0	30	2.85	1635	23.31	10.29
2010	ALSP	F244	0	191.0	30	2.85	1635	23.66	10.90
2010	ALSP	F246	1	190.0	26	3.15	1300	21.56	4.52
2010	ALSP	F249	0	220.0	23	7.30	1375	21.40	4.64
2010	ALSP	F250	0	196.0	18	6.33	1455	23.15	2.29
2010	ALSP	F251	0	281.0	19	6.98	870	23.28	2.59
2010	ALSP	F252	1	198.0	19	5.63	1225	23.70	9.35
2010	ALSP	F253	2	231.0	19	4.65	1445	23.31	4.53
2010	ALSP	F254	2	224.0	18	4.18	1480	23.55	1.35
2010	ALSP	F255	0	225.0	24	2.15	1335	22.21	6.77
2010	ALSP	F256	1	218.0	19	6.38	1282	23.16	6.11
2010	ALSP	F257	1	215.0	19	9.28	1230	23.10	5.90
